t_ms,grf_L,copx_L,copy_L,grf_R,copx_R,copy_R,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23
13638,524.219,0.5455,0.7560,189.881,0.3967,0.2528,1.782,4.593,3.299,2.953,2.401,9.906,4.035,2.823,9.844,11.006,7.079,1.842,6.468,11.078,18.207,37.711,33.058,14.259,4.336,90.815,108.470,77.452,42.577,18.227,66.659,32.899,9.418,34.313,7.342,4.436,3.507,3.633,5.658,5.257,3.679,0.771,3.325,5.263,0.090,0.000,0.365,0.702,0.644,0.344,0.000,0.865,0.000,0.709
9249,0.104,0.7591,0.4951,791.758,0.4114,0.4194,0.000,0.018,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.000,0.000,0.015,0.000,0.031,0.000,0.000,0.000,0.000,0.018,0.000,0.000,0.010,0.000,0.000,98.000,52.160,22.329,54.379,27.980,52.201,21.931,27.099,78.003,57.634,33.678,12.493,50.732,86.036,8.141,12.327,12.308,10.111,10.397,10.840,21.055,20.373,9.022,2.527
13659,521.129,0.5459,0.7585,185.569,0.3921,0.2474,2.134,4.617,2.031,2.253,2.265,9.916,3.215,3.587,9.931,10.686,7.336,2.183,5.784,10.044,17.313,38.283,32.731,14.661,3.827,90.641,107.632,77.667,43.584,18.808,66.149,32.023,9.436,33.445,7.806,5.637,3.968,2.995,4.777,5.252,3.152,0.218,3.534,4.891,0.178,1.019,0.000,0.441,0.000,0.000,0.000,0.000,0.000,0.649
9270,0.145,0.5939,0.6540,792.621,0.4103,0.4200,0.007,0.000,0.004,0.000,0.000,0.007,0.000,0.012,0.000,0.009,0.000,0.003,0.000,0.000,0.000,0.000,0.045,0.005,0.003,0.000,0.000,0.034,0.000,0.016,97.935,52.072,22.692,53.291,27.862,53.397,21.865,27.453,77.266,57.336,33.438,12.809,50.940,86.755,8.951,12.259,12.986,8.126,10.780,11.559,22.271,19.786,8.700,2.092
9284,0.308,0.6180,0.5584,799.041,0.4107,0.4201,0.010,0.000,0.000,0.025,0.020,0.011,0.009,0.000,0.004,0.000,0.018,0.058,0.021,0.000,0.021,0.000,0.036,0.015,0.000,0.000,0.002,0.000,0.010,0.049,98.614,52.031,23.252,54.603,28.746,53.061,21.806,27.836,77.927,56.646,34.555,13.035,51.202,85.993,8.825,12.768,12.310,10.698,10.044,11.465,21.926,20.467,8.929,2.303
13673,520.826,0.5449,0.7573,299.190,0.4121,0.4197,2.771,4.158,2.861,2.693,2.645,9.111,3.266,3.162,9.266,10.390,7.495,2.054,6.202,10.889,18.233,37.785,32.782,13.853,4.127,90.668,109.064,77.179,42.242,17.930,36.957,20.239,8.323,20.432,10.779,19.222,7.993,11.282,28.970,21.557,13.088,4.918,18.497,32.420,2.840,5.182,3.907,3.692,3.970,4.221,7.983,7.874,3.518,1.326
9298,0.153,0.6405,0.5464,792.664,0.4111,0.4193,0.006,0.007,0.006,0.011,0.000,0.000,0.002,0.000,0.013,0.009,0.000,0.009,0.013,0.027,0.000,0.000,0.006,0.000,0.000,0.000,0.028,0.002,0.015,0.000,97.623,52.175,22.975,53.981,28.322,52.988,21.562,28.104,77.838,57.592,33.576,13.378,49.693,86.094,7.623,12.249,12.193,9.443,11.239,11.451,21.931,19.627,9.127,1.882
13687,0.228,0.5691,0.5776,298.594,0.4095,0.4186,0.000,0.002,0.000,0.000,0.000,0.018,0.048,0.019,0.008,0.000,0.000,0.000,0.000,0.018,0.033,0.009,0.000,0.019,0.005,0.021,0.000,0.010,0.017,0.000,37.881,19.937,8.956,19.828,10.635,19.582,7.898,10.519,28.913,22.017,12.289,5.070,18.416,31.984,3.764,4.893,4.865,3.175,4.109,4.265,7.457,7.409,3.822,0.910
9312,0.096,0.6185,0.5259,1716.447,0.3951,0.7062,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.011,0.017,0.001,0.013,0.003,0.010,0.011,0.000,0.007,0.000,0.000,0.000,0.000,0.005,43.103,23.215,13.930,24.381,16.688,39.595,15.152,17.563,51.845,43.297,25.851,9.822,34.120,57.225,30.613,97.281,130.115,81.132,28.790,154.435,249.575,253.345,180.265,95.110
13715,0.105,0.5311,0.4259,300.919,0.4118,0.4231,0.000,0.023,0.010,0.000,0.019,0.000,0.004,0.000,0.000,0.000,0.000,0.006,0.000,0.002,0.041,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,36.679,18.963,7.606,20.865,10.804,19.814,8.073,11.064,30.141,21.905,11.883,5.122,19.046,32.424,3.581,4.877,4.372,3.868,4.264,4.740,8.745,7.570,3.415,1.100
9326,0.111,0.6133,0.3894,1717.207,0.3954,0.7051,0.000,0.008,0.018,0.000,0.028,0.000,0.013,0.000,0.011,0.010,0.000,0.000,0.000,0.000,0.001,0.009,0.000,0.008,0.004,0.000,0.000,0.000,0.000,0.000,43.992,24.229,13.924,25.169,17.825,38.891,15.426,17.751,51.435,43.195,25.881,9.325,34.437,57.707,31.193,96.367,129.239,80.914,28.829,154.206,249.520,253.104,179.824,94.824
9343,0.262,0.5417,0.5143,1719.392,0.3951,0.7050,0.000,0.014,0.039,0.010,0.006,0.027,0.009,0.018,0.000,0.004,0.000,0.031,0.000,0.010,0.023,0.000,0.000,0.000,0.010,0.016,0.021,0.000,0.024,0.000,43.153,24.112,13.674,25.072,17.067,39.151,14.992,18.346,51.766,43.685,26.659,11.341,34.891,57.533,31.124,97.230,129.788,80.969,28.500,154.327,249.128,252.717,179.799,94.369
13732,0.195,0.6603,0.5452,294.114,0.4107,0.4192,0.004,0.000,0.002,0.042,0.000,0.001,0.002,0.000,0.016,0.000,0.000,0.015,0.000,0.032,0.000,0.022,0.000,0.000,0.013,0.014,0.006,0.000,0.000,0.026,36.707,19.819,8.094,20.139,10.304,19.424,8.158,9.676,29.296,21.860,12.846,4.738,18.155,31.446,2.593,4.252,4.854,3.372,4.121,4.832,8.060,6.336,4.091,0.938
9365,0.149,0.5696,0.5232,1717.195,0.3952,0.7057,0.000,0.000,0.007,0.000,0.000,0.029,0.000,0.013,0.000,0.000,0.037,0.005,0.000,0.026,0.000,0.000,0.000,0.007,0.000,0.003,0.008,0.013,0.000,0.000,43.092,23.559,13.087,24.300,17.384,39.681,15.598,18.033,51.927,43.328,26.560,10.038,34.276,57.629,31.658,96.580,129.643,80.441,28.847,153.891,249.852,252.793,179.718,95.281
13754,0.215,0.6566,0.4123,645.382,0.3963,0.7037,0.011,0.028,0.020,0.000,0.044,0.000,0.000,0.000,0.039,0.001,0.000,0.003,0.000,0.000,0.000,0.031,0.003,0.029,0.000,0.000,0.007,0.000,0.000,0.000,16.632,9.357,5.046,10.207,7.752,14.497,5.031,6.677,18.843,15.876,10.205,3.558,12.902,22.576,11.397,36.104,48.518,31.078,10.521,58.129,92.656,95.174,67.465,35.181
13770,0.125,0.6726,0.6046,645.560,0.3955,0.7049,0.011,0.000,0.000,0.004,0.008,0.000,0.000,0.014,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.016,0.000,0.001,0.040,0.000,0.011,0.000,0.019,0.000,16.604,8.950,5.242,9.641,6.394,14.704,5.676,6.423,19.769,16.095,10.158,3.759,13.336,21.371,11.182,36.479,48.421,30.944,10.728,57.462,93.793,95.644,67.512,35.274
9381,0.178,0.6388,0.5447,1717.239,0.3956,0.7054,0.008,0.000,0.008,0.018,0.000,0.012,0.000,0.000,0.042,0.000,0.000,0.000,0.012,0.002,0.000,0.011,0.015,0.005,0.000,0.000,0.022,0.000,0.011,0.016,43.634,23.810,13.507,24.614,16.593,39.511,15.189,17.689,52.505,43.136,25.721,10.689,34.890,58.359,30.239,96.505,129.305,81.667,28.864,154.544,248.742,252.737,180.449,94.342
9402,0.199,0.5333,0.6423,1718.960,0.3954,0.7061,0.004,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.023,0.020,0.000,0.006,0.058,0.008,0.000,0.000,0.031,0.026,0.000,0.007,0.008,0.000,42.955,24.324,12.278,24.352,16.915,39.554,14.492,17.584,52.625,44.068,26.048,10.911,33.764,57.501,30.861,96.940,130.198,81.718,29.025,154.974,249.980,253.352,179.474,95.067
13791,0.240,0.5699,0.5157,643.920,0.3951,0.7048,0.021,0.023,0.000,0.000,0.000,0.010,0.018,0.000,0.000,0.037,0.000,0.000,0.005,0.025,0.000,0.045,0.015,0.000,0.023,0.000,0.003,0.016,0.000,0.000,16.569,8.606,4.965,9.767,6.275,15.271,5.288,6.461,20.404,16.217,9.877,3.844,13.009,21.180,11.848,35.700,48.705,31.062,10.670,57.550,93.451,95.402,66.634,35.166
9423,0.075,0.5653,0.4552,1394.024,0.3560,0.7566,0.002,0.000,0.000,0.000,0.000,0.012,0.000,0.028,0.000,0.013,0.000,0.000,0.009,0.005,0.004,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,9.793,7.363,6.475,7.653,8.368,26.652,8.778,8.278,25.607,29.150,17.953,5.419,17.612,28.720,45.327,99.281,90.184,41.078,11.827,235.080,301.361,215.702,104.846,41.514
13812,0.194,0.6528,0.6112,643.572,0.3949,0.7053,0.000,0.000,0.000,0.011,0.000,0.000,0.000,0.028,0.000,0.028,0.000,0.006,0.002,0.026,0.005,0.000,0.000,0.000,0.030,0.022,0.000,0.000,0.000,0.036,15.951,8.394,5.271,9.309,5.976,14.929,5.970,6.990,20.150,16.455,10.065,4.357,12.943,21.442,11.415,36.289,48.258,29.980,10.698,57.686,93.531,95.108,66.826,35.580
9437,0.202,0.5506,0.6387,1390.565,0.3562,0.7570,0.000,0.000,0.008,0.000,0.000,0.000,0.011,0.000,0.000,0.000,0.025,0.039,0.009,0.001,0.023,0.000,0.000,0.004,0.019,0.041,0.000,0.007,0.010,0.006,10.225,7.437,5.802,7.274,7.199,26.128,9.871,8.664,25.960,28.759,16.899,5.622,17.746,28.874,44.977,99.283,90.400,40.593,11.613,234.579,300.666,215.729,104.648,41.616
13826,0.114,0.5293,0.5157,646.580,0.3958,0.7052,0.001,0.000,0.002,0.035,0.000,0.002,0.000,0.000,0.000,0.000,0.026,0.000,0.002,0.000,0.001,0.012,0.012,0.003,0.002,0.015,0.000,0.000,0.000,0.000,16.190,9.685,5.756,8.922,6.269,14.729,5.157,6.761,20.022,16.171,10.466,3.321,12.652,21.715,11.319,36.534,48.456,30.172,11.400,58.133,93.201,96.048,67.399,36.104
9451,500.898,0.5916,0.2507,1396.963,0.3562,0.7562,102.586,160.125,22.310,91.010,20.496,14.547,10.390,9.661,13.512,14.567,9.302,2.624,7.514,14.449,1.395,0.986,0.100,1.368,2.222,0.000,0.175,0.379,0.354,0.828,10.358,7.919,6.201,7.293,7.667,26.023,9.725,9.394,25.620,29.720,17.146,6.573,17.213,28.562,44.418,99.326,91.266,40.934,12.378,235.995,301.362,215.048,104.770,42.052
13840,0.119,0.5965,0.3966,641.595,0.3955,0.7063,0.004,0.000,0.014,0.026,0.000,0.000,0.000,0.024,0.008,0.019,0.000,0.000,0.005,0.008,0.000,0.000,0.000,0.008,0.000,0.000,0.000,0.000,0.003,0.000,15.549,9.064,4.663,8.574,7.091,14.977,6.232,6.817,19.375,15.964,9.292,3.687,12.651,20.987,11.325,37.166,47.813,30.937,10.884,57.360,93.844,95.155,66.974,35.213
13854,0.254,0.5719,0.5309,519.220,0.3553,0.7576,0.011,0.027,0.021,0.007,0.027,0.000,0.000,0.000,0.000,0.000,0.021,0.036,0.000,0.000,0.000,0.014,0.000,0.003,0.000,0.000,0.036,0.050,0.000,0.000,3.319,3.126,2.120,2.687,2.621,9.929,4.005,2.831,9.171,10.950,6.639,2.458,5.652,11.040,17.079,36.240,34.461,15.752,3.565,87.876,112.406,80.432,39.698,15.162
9465,498.706,0.5904,0.2474,1389.743,0.3561,0.7574,103.376,160.389,22.925,90.505,20.878,13.399,11.177,9.049,14.063,14.644,8.722,2.619,8.049,13.321,1.896,1.255,0.000,0.444,1.772,0.000,0.072,0.000,0.150,0.000,9.437,7.498,6.340,7.068,7.726,26.291,8.301,8.441,26.270,28.399,17.674,6.550,17.343,28.327,45.099,98.446,90.659,40.949,10.820,235.290,300.432,215.414,105.824,41.143
9478,499.680,0.5914,0.2501,1388.687,0.3559,0.7575,102.443,160.513,22.514,91.119,20.202,13.213,10.822,8.758,13.021,14.615,8.718,2.865,8.619,14.738,1.505,1.604,0.643,0.430,2.231,0.178,0.303,0.399,0.226,0.000,9.660,7.574,6.330,6.772,7.739,25.717,9.524,8.319,25.122,28.861,17.687,5.812,16.885,28.611,44.919,98.207,90.812,40.434,11.974,235.748,300.794,215.019,105.282,40.886
13867,0.244,0.5615,0.5795,520.663,0.3559,0.7586,0.022,0.000,0.012,0.000,0.000,0.013,0.016,0.000,0.000,0.000,0.000,0.008,0.030,0.000,0.026,0.024,0.000,0.023,0.031,0.019,0.017,0.003,0.000,0.000,3.965,2.515,2.006,2.276,2.613,9.717,3.701,2.448,9.169,10.828,6.437,2.175,7.406,10.578,16.813,36.836,34.413,14.852,4.689,88.664,112.535,80.569,39.536,15.921
9492,497.698,0.5902,0.2484,1390.027,0.3559,0.7572,102.589,160.147,21.995,90.912,20.562,14.278,11.493,8.506,13.556,14.222,8.747,2.328,8.209,13.546,2.243,1.469,0.191,0.399,1.703,0.195,0.008,0.110,0.152,0.137,9.480,7.486,6.555,6.935,7.729,26.823,9.273,7.987,26.125,28.789,17.535,5.626,17.035,28.697,44.671,98.943,90.363,40.917,11.330,234.353,301.989,215.469,104.786,41.133
13881,0.319,0.6321,0.5629,518.788,0.3565,0.7591,0.000,0.010,0.000,0.029,0.024,0.000,0.000,0.021,0.040,0.021,0.002,0.006,0.000,0.000,0.017,0.020,0.011,0.039,0.008,0.012,0.006,0.020,0.021,0.013,2.955,2.062,2.513,2.632,2.926,9.302,3.108,3.303,9.758,10.636,6.182,1.772,6.817,11.139,16.735,36.710,34.614,15.300,4.195,88.209,112.867,80.412,38.833,15.807
13895,186.838,0.5893,0.2518,520.487,0.3563,0.7570,38.339,59.075,8.253,33.868,8.351,5.634,4.512,3.574,4.837,5.238,2.724,0.868,2.166,5.073,1.133,0.786,0.365,1.059,0.489,0.391,0.000,0.000,0.078,0.026,3.602,3.274,1.640,2.027,3.729,10.454,3.472,2.766,9.363,10.500,6.865,2.361,6.378,10.872,16.879,36.821,34.398,14.900,4.128,87.813,112.733,80.474,39.320,15.718
9506,790.600,0.6177,0.4197,1392.287,0.3564,0.7570,56.874,91.921,24.189,54.024,27.061,52.455,21.526,27.855,78.618,57.365,34.714,12.603,48.600,85.799,8.243,13.715,12.251,7.409,10.530,10.113,20.100,21.129,10.897,2.609,8.971,7.576,7.209,7.016,8.259,25.916,9.246,8.798,25.429,28.783,17.339,5.759,17.305,29.387,45.205,98.586,90.458,40.636,11.771,235.313,300.181,215.282,105.599,42.263
13909,188.620,0.5924,0.2503,517.692,0.3547,0.7588,39.174,60.267,8.065,34.190,8.064,5.411,4.220,2.977,5.231,4.927,3.608,0.712,2.846,5.700,0.000,0.693,1.165,0.247,0.500,0.017,0.000,0.288,0.319,0.000,3.681,3.195,2.255,1.771,2.593,9.718,3.310,2.457,9.466,11.805,6.368,1.945,6.109,10.431,16.894,36.992,33.567,15.062,4.023,87.966,113.180,80.132,39.160,15.609
9520,790.762,0.6182,0.4210,0.232,0.3913,0.5920,56.376,92.604,24.261,53.181,25.789,52.626,21.832,27.921,78.589,57.440,34.926,12.140,47.554,87.127,7.620,13.105,12.044,8.232,10.735,9.954,21.175,21.071,11.411,3.045,0.019,0.000,0.013,0.000,0.000,0.003,0.008,0.044,0.000,0.000,0.000,0.018,0.000,0.000,0.010,0.000,0.009,0.027,0.000,0.000,0.037,0.015,0.025,0.003
9534,792.484,0.6170,0.4198,0.119,0.4316,0.4419,57.455,93.094,24.001,54.101,26.036,52.677,21.897,28.095,78.289,56.896,36.064,12.499,48.032,86.287,8.583,13.176,11.436,7.168,10.341,10.793,20.667,21.233,10.682,2.982,0.000,0.000,0.018,0.000,0.023,0.000,0.012,0.021,0.000,0.003,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.028,0.000,0.000,0.002,0.002,0.000,0.000
13923,187.909,0.5921,0.2496,523.202,0.3559,0.7568,38.722,59.528,7.814,34.207,8.342,5.507,4.522,3.105,5.264,5.565,3.314,1.442,3.295,5.382,0.361,0.215,0.000,0.212,0.684,0.000,0.161,0.000,0.252,0.014,3.245,2.820,2.484,3.296,2.850,10.128,3.506,3.416,9.500,10.757,6.511,2.127,6.816,10.284,17.198,36.927,34.474,15.186,4.181,88.035,112.963,80.570,40.175,15.750
13937,186.708,0.5882,0.2514,524.269,0.3566,0.7564,37.860,60.066,8.803,34.400,6.829,5.231,4.157,2.913,5.115,5.841,2.705,1.480,2.824,4.934,0.854,0.729,0.790,0.067,0.509,0.294,0.000,0.142,0.000,0.166,3.908,2.568,2.529,3.194,3.124,9.362,3.503,2.321,10.361,10.808,6.252,2.755,6.249,11.193,17.585,36.588,34.541,15.089,4.805,88.556,113.487,80.593,38.918,15.978
9548,791.907,0.6176,0.4208,0.165,0.4903,0.4711,57.695,92.666,23.735,53.848,25.707,52.701,20.763,28.278,77.678,56.822,35.462,12.372,48.080,86.730,8.564,13.354,12.540,7.506,11.073,9.911,21.248,20.822,11.554,2.795,0.000,0.041,0.005,0.000,0.000,0.000,0.000,0.002,0.000,0.002,0.000,0.024,0.025,0.015,0.000,0.016,0.000,0.000,0.025,0.000,0.000,0.008,0.000,0.000
13951,295.107,0.6179,0.4203,523.065,0.3555,0.7543,21.334,34.562,8.678,20.160,9.514,19.826,8.113,10.251,29.627,21.272,13.198,3.752,18.034,32.682,3.038,5.625,4.669,2.401,4.034,3.533,7.966,7.847,3.805,1.184,4.663,3.083,3.219,2.366,2.792,10.068,3.177,3.413,9.755,11.272,6.210,2.023,7.513,11.190,16.777,37.081,33.959,14.362,4.244,88.710,112.467,80.424,39.134,15.161
9562,791.063,0.6174,0.4192,0.216,0.3603,0.6086,57.627,92.845,23.783,53.973,25.831,52.726,21.867,28.228,78.339,56.311,35.918,12.268,48.018,86.852,8.718,13.823,11.590,8.446,9.946,10.372,20.216,20.363,10.631,2.372,0.000,0.000,0.018,0.000,0.000,0.005,0.001,0.000,0.006,0.027,0.026,0.007,0.000,0.000,0.028,0.000,0.020,0.022,0.027,0.000,0.000,0.000,0.031,0.000
13965,298.236,0.6186,0.4207,0.184,0.3778,0.5180,21.185,34.783,9.347,19.662,10.328,19.989,7.156,10.916,30.048,20.509,13.431,4.943,18.515,32.160,3.585,5.210,4.869,2.869,4.572,3.760,7.996,8.411,3.264,0.729,0.013,0.021,0.000,0.000,0.000,0.040,0.000,0.021,0.000,0.006,0.000,0.000,0.000,0.014,0.000,0.000,0.002,0.012,0.000,0.012,0.015,0.000,0.026,0.001
9576,786.374,0.6177,0.4193,0.083,0.3573,0.4584,57.734,92.339,23.865,53.571,25.803,52.630,20.880,27.828,77.560,57.129,34.768,12.604,47.792,86.081,7.910,12.792,11.633,7.991,10.924,9.816,20.274,21.140,10.557,2.754,0.003,0.000,0.019,0.008,0.000,0.000,0.000,0.000,0.009,0.008,0.005,0.006,0.000,0.000,0.000,0.000,0.019,0.000,0.002,0.000,0.000,0.000,0.004,0.000
13978,298.498,0.6169,0.4191,0.157,0.3190,0.5592,21.518,34.764,8.160,20.594,10.327,20.203,7.784,10.729,29.731,21.651,13.396,5.602,17.934,31.966,3.709,5.570,4.754,2.834,4.274,3.577,7.152,8.354,3.916,0.000,0.008,0.000,0.026,0.000,0.000,0.000,0.000,0.000,0.014,0.032,0.000,0.000,0.000,0.000,0.000,0.029,0.006,0.010,0.001,0.000,0.000,0.031,0.000,0.000
9589,1717.681,0.5902,0.7055,0.240,0.4293,0.4982,25.827,41.815,15.104,24.741,15.177,39.711,15.373,18.435,51.852,43.419,26.652,9.662,32.736,57.872,32.909,100.350,129.187,78.102,26.982,140.464,235.197,254.260,193.397,108.457,0.000,0.050,0.007,0.019,0.007,0.000,0.000,0.018,0.004,0.020,0.016,0.020,0.000,0.000,0.000,0.007,0.003,0.000,0.000,0.000,0.000,0.020,0.026,0.024
9603,1714.090,0.5907,0.7065,0.156,0.4082,0.6358,25.565,41.540,14.198,23.929,15.289,39.013,14.693,18.447,51.076,42.222,26.812,9.854,32.777,58.344,32.944,100.661,128.920,78.245,27.700,140.466,234.889,253.234,194.417,108.855,0.000,0.003,0.002,0.000,0.000,0.000,0.022,0.022,0.000,0.000,0.000,0.000,0.000,0.002,0.027,0.006,0.006,0.000,0.019,0.003,0.012,0.000,0.000,0.033
13999,297.873,0.6165,0.4169,0.184,0.3506,0.5243,21.513,35.207,9.311,20.492,9.465,19.908,8.770,10.494,28.841,22.018,13.412,5.226,18.105,32.551,3.142,5.420,4.807,3.572,3.593,2.890,6.921,7.697,3.598,0.918,0.000,0.000,0.025,0.000,0.023,0.023,0.000,0.036,0.000,0.000,0.000,0.000,0.003,0.000,0.020,0.000,0.000,0.000,0.000,0.003,0.024,0.014,0.008,0.005
9617,1713.865,0.5902,0.7062,0.216,0.4383,0.5728,25.099,42.236,14.134,24.837,15.191,39.419,14.143,18.580,51.960,43.425,26.975,9.889,31.624,57.494,32.646,101.165,128.347,77.014,27.301,140.441,235.823,254.082,193.558,108.483,0.000,0.000,0.000,0.021,0.000,0.000,0.015,0.000,0.043,0.010,0.000,0.000,0.005,0.000,0.022,0.000,0.023,0.016,0.032,0.008,0.014,0.001,0.007,0.000
14013,295.263,0.6170,0.4189,0.247,0.3854,0.5062,21.747,33.695,9.554,20.248,9.629,19.899,7.833,10.554,29.277,21.286,13.245,4.534,18.333,32.333,2.999,4.526,5.241,2.768,4.158,3.726,7.455,7.917,4.010,0.296,0.022,0.000,0.022,0.000,0.000,0.008,0.005,0.018,0.016,0.000,0.007,0.027,0.035,0.007,0.027,0.000,0.013,0.008,0.000,0.000,0.009,0.000,0.017,0.005
9631,1715.646,0.5903,0.7058,0.117,0.3877,0.5082,25.105,41.212,14.453,25.553,15.764,39.085,14.567,18.551,51.990,42.961,27.277,10.461,32.843,57.392,33.435,100.333,128.644,78.110,26.679,140.384,235.341,254.247,193.211,108.051,0.000,0.000,0.012,0.000,0.008,0.000,0.000,0.000,0.013,0.032,0.000,0.028,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.000,0.000,0.000,0.000,0.014
14034,642.388,0.5894,0.7063,0.108,0.4597,0.4776,9.542,15.250,5.889,8.780,5.912,15.307,5.979,6.637,19.071,16.610,9.859,3.657,11.873,20.874,12.294,37.937,47.947,29.522,10.243,52.732,88.139,94.700,72.826,40.806,0.000,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.036,0.005,0.022,0.000,0.016,0.001,0.000,0.000,0.013,0.000,0.000,0.000,0.000,0.006,0.000,0.000
9645,1714.466,0.5904,0.7062,0.112,0.4861,0.3751,24.902,41.894,14.708,24.257,15.472,39.196,14.680,18.257,52.309,43.383,27.409,9.643,31.807,57.578,32.400,100.320,128.549,78.286,27.317,140.848,234.950,253.685,194.063,108.552,0.000,0.036,0.000,0.000,0.027,0.013,0.000,0.000,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.009,0.000,0.004,0.000,0.002,0.012,0.000,0.000
14055,643.396,0.5907,0.7059,0.186,0.3993,0.5645,9.002,15.675,6.123,8.369,5.606,15.493,5.610,7.058,20.196,16.483,9.418,3.471,12.446,21.423,12.001,38.270,48.406,28.978,10.136,52.003,87.709,94.944,73.330,41.247,0.006,0.021,0.012,0.017,0.013,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.024,0.004,0.023,0.000,0.021,0.000,0.020,0.020,0.000
9666,1717.449,0.5899,0.7058,0.151,0.4853,0.4776,25.970,41.577,15.079,24.451,15.143,39.243,16.010,18.161,51.686,42.979,27.186,9.561,32.903,57.296,33.239,100.962,128.713,77.673,26.708,140.896,235.105,254.612,193.826,108.470,0.000,0.020,0.022,0.005,0.014,0.000,0.000,0.000,0.018,0.000,0.000,0.015,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.009,0.000,0.033
14069,642.984,0.5902,0.7063,0.187,0.4316,0.5200,9.233,16.026,4.877,9.512,5.210,14.683,5.604,7.096,18.942,15.860,10.826,3.544,12.365,21.755,12.770,37.991,48.532,28.993,10.345,52.578,87.871,95.123,72.680,40.567,0.000,0.028,0.000,0.000,0.008,0.000,0.019,0.037,0.000,0.019,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.019,0.007,0.008,0.012,0.000,0.022,0.006
9680,1715.328,0.5901,0.7063,0.093,0.2909,0.4304,25.345,41.822,14.825,24.378,14.407,39.789,14.735,18.631,51.963,43.196,27.170,9.168,32.374,58.055,33.054,100.435,128.409,77.751,26.603,140.545,235.297,255.067,193.433,108.876,0.030,0.000,0.000,0.000,0.000,0.024,0.011,0.000,0.000,0.000,0.000,0.000,0.004,0.002,0.000,0.000,0.000,0.000,0.000,0.013,0.000,0.008,0.000,0.001
9701,1392.136,0.5453,0.7576,0.228,0.3902,0.4234,5.668,11.684,7.570,7.034,6.717,25.349,9.017,8.633,25.661,29.312,18.834,5.336,16.324,27.840,47.527,101.439,87.440,38.419,11.114,241.639,289.784,207.319,113.224,49.253,0.004,0.000,0.046,0.013,0.016,0.029,0.007,0.000,0.023,0.000,0.019,0.000,0.018,0.022,0.000,0.005,0.010,0.000,0.000,0.000,0.000,0.000,0.016,0.000
14090,643.857,0.5905,0.7055,0.206,0.4812,0.4766,9.782,15.572,4.925,9.610,6.117,15.128,5.148,6.836,19.014,15.485,10.834,3.792,12.149,22.874,12.658,37.848,47.839,29.064,10.132,52.995,88.320,95.088,72.131,40.515,0.010,0.028,0.000,0.000,0.000,0.000,0.005,0.017,0.032,0.000,0.000,0.015,0.043,0.002,0.000,0.028,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.023
14103,640.851,0.5902,0.7066,0.175,0.4101,0.6090,8.871,15.097,5.407,9.531,5.243,14.518,5.885,7.700,19.527,15.869,10.147,4.256,11.120,21.147,12.611,37.802,48.560,29.671,10.502,52.452,87.837,94.618,71.979,40.500,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.027,0.000,0.020,0.000,0.000,0.018,0.018,0.017,0.000,0.000,0.024,0.012,0.017,0.000,0.019,0.000,0.000
9714,1395.322,0.5457,0.7571,0.206,0.3993,0.4463,6.078,11.758,6.744,7.178,7.169,26.276,8.493,9.327,25.555,29.239,18.801,5.562,15.984,28.951,47.738,100.715,88.468,39.235,10.570,241.361,290.178,206.690,113.929,49.322,0.000,0.020,0.000,0.021,0.023,0.000,0.014,0.019,0.004,0.037,0.021,0.004,0.000,0.000,0.000,0.003,0.000,0.000,0.027,0.011,0.000,0.000,0.000,0.003
9728,1395.118,0.5457,0.7572,499.441,0.3933,0.2484,5.554,11.797,7.274,6.915,6.223,26.479,8.969,9.173,26.004,28.973,18.961,5.528,16.713,29.004,47.331,100.615,88.255,39.133,10.232,242.106,289.815,206.923,113.416,49.723,176.653,87.260,24.585,90.184,18.514,13.732,9.350,10.772,13.901,14.253,8.640,2.936,8.051,14.464,1.785,1.223,0.710,0.668,1.313,0.069,0.109,0.272,0.000,0.000
